order_id,customer_id,restaurant_id,order_timestamp,delivery_timestamp,order_value_eur,city
97d630f7-f679-4a52-b97f-1645eae7754d,40412f58,REST_B,2026-05-20 20:14:02,2026-05-20 20:30:02,45.17,Amsterdam
13b3aa32-f214-4bf7-aa08-84aeff78925b,1a0b5b29,REST_C,2026-05-20 22:02:02,2026-05-20 22:43:02,52.88,Amsterdam
fd59431b-1209-4c74-a99c-ea94e61378a0,b1313625,REST_B,2026-05-20 20:08:02,2026-05-20 21:05:02,38.94,Amsterdam
fde8799e-7f69-4604-924a-d8c3b8098f70,6af062ec,REST_C,2026-05-20 21:07:02,2026-05-20 21:53:02,47.1,Amsterdam
347b0697-6749-442c-9227-02e864a92618,2ab4a0df,REST_A,2026-05-20 19:45:02,2026-05-20 20:14:02,14.93,Amsterdam
be3ad2b8-5bdb-40fa-8390-a6dfbcc6c455,de441452,REST_C,2026-05-20 21:23:02,2026-05-20 22:13:02,21.71,Amsterdam
e3ff8111-3de5-4f9e-aa87-22f1b425a692,6fa50fa8,REST_D,2026-05-20 20:21:02,2026-05-20 20:55:02,34.81,Amsterdam
5500636e-d68d-4d6a-bbdc-5feef096b6a1,4a11fcb5,REST_C,2026-05-20 22:07:02,2026-05-20 23:01:02,38.34,Amsterdam
1752797c-af6b-4176-845d-fb1b61975664,0e0cd2e4,REST_A,2026-05-20 21:44:02,2026-05-20 22:05:02,62.47,Amsterdam
8d31d72f-0295-4205-9853-e67d31dbf526,af8d07b7,REST_B,2026-05-20 22:22:02,2026-05-20 23:14:02,30.58,Amsterdam
d50caa17-2416-4c97-a9e6-4404b9f52825,86d68c1e,REST_A,2026-05-20 19:57:02,2026-05-20 20:38:02,52.4,Amsterdam
5e676fde-83e6-40cd-b34d-5fdbe53d8c10,bc31342e,REST_D,2026-05-20 21:33:02,2026-05-20 21:51:02,10.09,Amsterdam
4094fffc-9196-4f98-80b0-e13a18b9f8c4,2b037867,REST_A,2026-05-20 21:42:02,2026-05-20 22:40:02,13.23,Amsterdam
49bcb2e8-5dda-4c1f-97ed-1a57d40ecad5,3a38f927,REST_D,2026-05-20 21:42:02,2026-05-20 22:27:02,56.71,Amsterdam
e55262f6-bfb0-45c0-8f06-e72aa449ee3d,e73a30ca,REST_D,2026-05-20 22:21:02,2026-05-20 22:44:02,18.99,Amsterdam
34a4c771-3ee0-4d1c-bf21-04ac70288e53,ff892ff3,REST_D,2026-05-20 23:34:02,2026-05-21 00:16:02,45.59,Amsterdam
894df0ea-b7d5-46da-97a6-d8ee7b586453,7b623ea1,REST_D,2026-05-20 19:12:02,2026-05-20 19:53:02,37.56,Amsterdam
1714172d-52fe-44f1-bf4c-cc3fe5a9e908,d98e2f85,REST_C,2026-05-20 21:57:02,2026-05-20 22:39:02,64.45,Amsterdam
4cf950a2-ffed-44b1-9ff4-3e806241f363,b83fda40,REST_A,2026-05-20 18:59:02,2026-05-20 19:32:02,47.49,Amsterdam
282deedc-8e8d-41d1-a409-e3b9a003c84a,d227088e,REST_A,2026-05-20 19:06:02,2026-05-20 19:56:02,25.84,Amsterdam
7df72ade-ad67-417d-ad94-f31b5e3f61c1,a1b9bf29,REST_D,2026-05-20 19:36:02,2026-05-20 20:23:02,15.1,Amsterdam
6787af65-0b29-40cc-b1de-eafca177978a,c9637ca7,REST_D,2026-05-20 22:08:02,2026-05-20 22:26:02,11.65,Amsterdam
9555b6fb-a042-4434-95c5-0e37fbd24cbe,2e46a204,REST_D,2026-05-20 19:42:02,2026-05-20 20:09:02,62.23,Amsterdam
